x,y,value
0,0,8
1,0,11
2,0,11
3,0,1
4,0,7
5,0,3
6,0,0
7,0,5
8,0,11
9,0,2
10,0,6
11,0,7
12,0,5
13,0,8
14,0,14
15,0,6
16,0,5
17,0,16
18,0,5
19,0,15
20,0,17
21,0,11
22,0,7
23,0,9
24,0,7
25,0,18
26,0,12
27,0,9
28,0,8
29,0,5
30,0,13
31,0,9
32,0,13
33,0,6
34,0,7
0,1,6
1,1,4
2,1,10
3,1,2
4,1,7
5,1,9
6,1,9
7,1,7
8,1,11
9,1,3
10,1,10
11,1,7
12,1,9
13,1,18
14,1,8
15,1,2
16,1,16
17,1,14
18,1,7
19,1,13
20,1,13
21,1,11
22,1,17
23,1,8
24,1,13
25,1,8
26,1,7
27,1,9
28,1,4
29,1,5
30,1,5
31,1,7
32,1,11
33,1,12
34,1,6
0,2,7
1,2,12
2,2,2
3,2,8
4,2,12
5,2,1
6,2,11
7,2,9
8,2,10
9,2,8
10,2,9
11,2,15
12,2,10
13,2,11
14,2,10
15,2,12
16,2,7
17,2,13
18,2,13
19,2,8
20,2,18
21,2,18
22,2,22
23,2,14
24,2,11
25,2,14
26,2,5
27,2,5
28,2,10
29,2,8
30,2,15
31,2,9
32,2,6
33,2,6
34,2,3
0,3,4
1,3,4
2,3,8
3,3,10
4,3,6
5,3,3
6,3,8
7,3,10
8,3,8
9,3,10
10,3,17
11,3,4
12,3,13
13,3,12
14,3,5
15,3,11
16,3,16
17,3,19
18,3,15
19,3,17
20,3,11
21,3,12
22,3,13
23,3,15
24,3,12
25,3,17
26,3,11
27,3,11
28,3,21
29,3,14
30,3,9
31,3,9
32,3,12
33,3,9
34,3,6
0,4,6
1,4,12
2,4,9
3,4,2
4,4,13
5,4,5
6,4,9
7,4,5
8,4,8
9,4,8
10,4,15
11,4,16
12,4,6
13,4,8
14,4,13
15,4,9
16,4,15
17,4,17
18,4,18
19,4,25
20,4,14
21,4,10
22,4,17
23,4,24
24,4,25
25,4,18
26,4,27
27,4,17
28,4,20
29,4,14
30,4,11
31,4,8
32,4,8
33,4,10
34,4,3
0,5,3
1,5,4
2,5,3
3,5,14
4,5,6
5,5,12
6,5,10
7,5,8
8,5,8
9,5,2
10,5,6
11,5,7
12,5,3
13,5,11
14,5,14
15,5,13
16,5,15
17,5,9
18,5,22
19,5,18
20,5,33
21,5,27
22,5,24
23,5,32
24,5,15
25,5,17
26,5,23
27,5,19
28,5,8
29,5,11
30,5,10
31,5,8
32,5,11
33,5,7
34,5,5
0,6,9
1,6,7
2,6,9
3,6,11
4,6,11
5,6,7
6,6,8
7,6,10
8,6,9
9,6,5
10,6,15
11,6,10
12,6,20
13,6,12
14,6,14
15,6,14
16,6,28
17,6,14
18,6,12
19,6,27
20,6,16
