x,y,value
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,1
21,0,0
22,0,0
23,0,0
24,0,1
25,0,1
26,0,0
27,0,0
28,0,0
29,0,1
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,1
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,2
18,1,0
19,1,2
20,1,0
21,1,0
22,1,0
23,1,0
24,1,2
25,1,0
26,1,2
27,1,0
28,1,0
29,1,0
30,1,0
31,1,1
32,1,0
33,1,0
34,1,1
35,1,0
36,1,1
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,0
0,2,0
1,2,0
2,2,0
3,2,0
4,2,0
5,2,0
6,2,0
7,2,0
8,2,0
9,2,0
10,2,0
11,2,0
12,2,0
13,2,0
14,2,0
15,2,0
16,2,0
17,2,0
18,2,0
19,2,0
20,2,1
21,2,0
22,2,0
23,2,0
24,2,1
25,2,0
26,2,0
27,2,0
28,2,1
29,2,1
30,2,0
31,2,3
32,2,1
33,2,0
34,2,0
35,2,0
36,2,0
37,2,0
38,2,0
39,2,1
40,2,0
41,2,0
42,2,0
43,2,1
44,2,0
45,2,0
46,2,0
47,2,0
48,2,0
49,2,0
0,3,0
1,3,0
2,3,0
3,3,0
4,3,0
5,3,1
6,3,0
7,3,0
8,3,0
9,3,0
10,3,0
11,3,2
12,3,0
13,3,0
14,3,0
15,3,0
16,3,0
17,3,0
18,3,0
19,3,0
20,3,0
21,3,0
22,3,1
23,3,0
24,3,1
25,3,1
26,3,0
27,3,1
28,3,0
29,3,4
30,3,0
31,3,1
32,3,0
33,3,1
34,3,0
35,3,0
36,3,0
37,3,0
38,3,1
39,3,0
40,3,0
41,3,0
42,3,0
43,3,1
44,3,0
45,3,1
46,3,0
47,3,0
48,3,0
49,3,0
0,4,0
1,4,0
2,4,1
3,4,0
4,4,0
5,4,0
6,4,0
7,4,0
8,4,0
9,4,0
10,4,0
11,4,0
12,4,0
13,4,0
14,4,0
15,4,0
16,4,1
17,4,0
18,4,1
19,4,0
20,4,2
21,4,0
22,4,1
23,4,2
24,4,2
25,4,2
26,4,3
27,4,0
28,4,1
29,4,0
30,4,0
31,4,0
32,4,2
33,4,1
34,4,0
35,4,0
36,4,0
37,4,1
38,4,1
39,4,0
40,4,1
41,4,1
42,4,1
43,4,0
44,4,0
45,4,0
46,4,0
47,4,0
48,4,0
49,4,0
0,5,0
1,5,0
2,5,0
3,5,0
4,5,0
5,5,0
6,5,0
7,5,1
8,5,0
9,5,0
10,5,0
11,5,1
12,5,0
13,5,0
14,5,1
15,5,0
16,5,0
17,5,0
18,5,1
19,5,2
20,5,0
21,5,1
22,5,3
23,5,2
24,5,2
25,5,0
26,5,6
27,5,2
28,5,2
29,5,1
30,5,2
31,5,4
32,5,1
33,5,1
34,5,0
35,5,3
36,5,1
37,5,0
38,5,0
39,5,0
40,5,0
41,5,0
42,5,0
43,5,0
44,5,0
45,5,0
46,5,0
47,5,0
48,5,0
49,5,0
0,6,0
1,6,0
2,6,0
3,6,0
4,6,0
5,6,0
6,6,1
7,6,0
8,6,0
9,6,1
10,6,0
11,6,1
12,6,0
13,6,0
14,6,1
15,6,1
16,6,1
17,6,1
18,6,3
19,6,1
20,6,1
21,6,2
22,6,0
23,6,0
24,6,2
25,6,3
26,6,0
27,6,4
28,6,3
29,6,5
30,6,3
31,6,2
32,6,0
33,6,3
34,6,0
35,6,1
36,6,1
37,6,0
38,6,1
39,6,0
40,6,0
41,6,0
42,6,0
43,6,1
44,6,0
45,6,0
46,6,0
47,6,0
48,6,0
49,6,0
0,7,0
1,7,0
2,7,0
3,7,0
4,7,1
5,7,0
6,7,0
7,7,1
8,7,0
9,7,1
10,7,1
11,7,2
12,7,0
13,7,3
14,7,2
15,7,0
16,7,1
17,7,2
18,7,3
19,7,5
20,7,2
21,7,2
22,7,3
23,7,1
24,7,1
25,7,4
26,7,4
27,7,4
28,7,4
29,7,0
30,7,5
31,7,4
32,7,2
33,7,0
34,7,3
35,7,2
36,7,1
37,7,1
38,7,0
39,7,1
40,7,2
41,7,1
42,7,1
43,7,0
44,7,0
45,7,0
46,7,0
47,7,0
48,7,0
49,7,0
0,8,0
1,8,0
2,8,0
3,8,1
4,8,0
5,8,0
6,8,1
7,8,1
8,8,1
9,8,0
10,8,0
11,8,0
12,8,0
13,8,0
14,8,2
15,8,3
16,8,0
17,8,0
18,8,4
19,8,1
20,8,1
21,8,4
22,8,2
23,8,7
24,8,6
25,8,5
26,8,5
27,8,5
28,8,6
29,8,7
30,8,2
31,8,4
32,8,4
33,8,2
34,8,3
35,8,4
36,8,0
37,8,0
38,8,0
39,8,2
40,8,2
41,8,0
42,8,0
43,8,1
44,8,0
45,8,0
46,8,0
47,8,0
48,8,0
49,8,0
0,9,0
1,9,0
2,9,0
3,9,0
4,9,0
5,9,0
6,9,0
7,9,1
8,9,0
9,9,0
10,9,2
11,9,0
12,9,0
13,9,3
14,9,1
15,9,2
16,9,6
17,9,3
18,9,5
19,9,5
20,9,3
21,9,3
22,9,5
23,9,6
24,9,12
25,9,2
26,9,7
27,9,8
28,9,6
29,9,10
30,9,5
31,9,2
32,9,4
33,9,8
34,9,7
35,9,2
36,9,0
37,9,4
38,9,4
39,9,4
40,9,2
41,9,2
42,9,0
43,9,0
44,9,1
45,9,0
46,9,0
47,9,0
48,9,0
49,9,0
0,10,0
1,10,0
2,10,0
3,10,0
4,10,1
5,10,0
6,10,1
7,10,0
8,10,1
9,10,1
10,10,1
11,10,3
12,10,1
13,10,3
14,10,3
15,10,2
16,10,6
17,10,4
18,10,2
19,10,3
20,10,4
21,10,2
22,10,6
23,10,5
24,10,2
25,10,10
26,10,7
27,10,4
28,10,3
29,10,5
30,10,4
31,10,6
32,10,6
33,10,8
34,10,5
35,10,3
36,10,6
37,10,3
38,10,4
39,10,2
40,10,2
41,10,0
42,10,0
43,10,0
44,10,0
45,10,0
46,10,0
47,10,1
48,10,0
49,10,0
0,11,0
1,11,0
2,11,1
3,11,1
4,11,0
5,11,0
6,11,1
7,11,0
8,11,0
9,11,0
10,11,3
11,11,3
12,11,1
13,11,0
14,11,1
15,11,3
16,11,13
17,11,4
18,11,7
19,11,6
20,11,7
21,11,5
